,title,url,discounted_price,original_price,discount
99,GM320 Infrared Thermometer Non-Contact Laser Gun IR Thermometer EDT-528767,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/gm320-infrared-thermometer-non-contact-laser-gun-ir-thermometer-p-165306.html,9.3,18.51,49.76
100,Car Anti-slip Pad Navigation Holder Slip Mat Dashboard RTH-519917,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/car-anti-slip-pad-navigation-holder-slip-mat-dashboard-p-161702.html,1.94,3.86,49.74
101,Traditional Chinese Knot Pendant with Mask & Tassel - Green FCE-44348,https://web.archive.org/web/20120919072342/http://www.tinydeal.com/ru/traditional-chinese-knot-pendant-with-mask-tassel-green-p-35858.html,0.9,1.79,49.72
102,YWXLIGHT 220-240V 12W 960LM SMD 5730 Octagonal LED Ceiling Lamp HLT-515166,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/ywxlight-220-240v-12w-960lm-smd-5730-octagonal-led-ceiling-lamp-p-159467.html,3.15,6.26,49.68
103,"USB 3.0 to 2.5"" Mobile HDD/SSD SATA Hard Drive Cable Adapter HHI-494016",https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/usb-30-to-25-mobile-hddssd-sata-hard-drive-cable-adapter-p-157311.html,5.47,10.75,49.120000000000005
104,Stainless Steel Wine Bracelet Thermometer with LCD Display HKI-499938,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/stainless-steel-wine-bracelet-thermometer-with-lcd-display-p-157835.html,1.85,3.63,49.04
105,1.5M Apple 8Pin USB Cable Charge/Sync Nylon Cable f iPhone iPad iPod EPA-513589,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/15m-apple-8pin-usb-cable-chargesync-nylon-cable-f-iphone-ipad-ipod-p-159268.html,2.03,3.98,48.99
106,KINGSTON 16GB UltimateX Class 10 Micro SD Card EFM-268210,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/kingston-16gb-ultimatex-class-10-micro-sd-card-p-115290.html,6.54,12.8,48.91
107,Silicone Plastic Wrap Sealing Vacuum Lid for Bowl to Keep Fresh HKI-470788,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/silicone-plastic-wrap-sealing-vacuum-lid-for-bowl-to-keep-fresh-p-156188.html,1.84,3.6,48.89
108,30X60 Day Night Vision Zoom Folding Optical Binoculars Telescope STS-509744,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/30x60-day-night-vision-zoom-folding-optical-binoculars-telescope-p-158701.html,7.47,14.6,48.84
